algorithm,n,structure,element_type,runs,mean_ms,min_ms,max_ms
bucket_sort,50,reverse,int,500,0.0259,0.0239,0.0412
comb_sort,50,reverse,int,500,0.039,0.0271,0.1809
counting_sort,50,reverse,int,500,0.0918,0.07,0.3074
heap_sort,50,reverse,int,500,0.0726,0.052,0.2461
insertion_sort,50,reverse,int,500,0.1237,0.0961,0.5041
intro_sort,50,reverse,int,500,0.0473,0.0301,0.1733
merge_sort,50,reverse,int,500,0.0807,0.058,0.2986
merge_sort_iterative,50,reverse,int,500,0.0739,0.0591,1.01
patience_sort,50,reverse,int,500,0.0373,0.0264,0.2663
quick_sort,50,reverse,int,500,0.0374,0.0311,0.2298
radix_sort,50,reverse,int,500,0.0579,0.0465,0.3301
selection_sort,50,reverse,int,500,0.0677,0.0607,0.3582
shell_sort,50,reverse,int,500,0.0431,0.027,0.2582
tim_sort,50,reverse,int,500,0.0013,0.001,0.0063
bubble_sort,50,almost_sorted,int,500,0.0629,0.0405,0.3795
bucket_sort,50,almost_sorted,int,500,0.0481,0.0293,0.216
comb_sort,50,almost_sorted,int,500,0.0347,0.0215,0.1709
counting_sort,50,almost_sorted,int,500,0.1017,0.0745,0.4214
heap_sort,50,almost_sorted,int,500,0.0998,0.0633,0.4065
insertion_sort,50,almost_sorted,int,500,0.0228,0.0069,0.2357
intro_sort,50,almost_sorted,int,500,0.0322,0.0125,0.0907
merge_sort,50,almost_sorted,int,500,0.0901,0.0574,0.2929
merge_sort_iterative,50,almost_sorted,int,500,0.0909,0.066,0.2933
patience_sort,50,almost_sorted,int,500,0.0594,0.0457,0.1838
quick_sort,50,almost_sorted,int,500,0.0346,0.0279,0.1084
radix_sort,50,almost_sorted,int,500,0.0658,0.0499,0.2374
selection_sort,50,almost_sorted,int,500,0.0724,0.0525,0.3658
shell_sort,50,almost_sorted,int,500,0.0304,0.0176,0.2361
tim_sort,50,almost_sorted,int,500,0.0013,0.001,0.0051
bubble_sort,50,half_sorted,int,500,0.1057,0.0814,0.4044
bucket_sort,50,half_sorted,int,500,0.0273,0.0265,0.0553
comb_sort,50,half_sorted,int,500,0.0409,0.0323,0.3446
counting_sort,50,half_sorted,int,500,0.088,0.0745,0.2526
heap_sort,50,half_sorted,int,500,0.0823,0.0574,0.3043
insertion_sort,50,half_sorted,int,500,0.0402,0.032,0.2104
intro_sort,50,half_sorted,int,500,0.0433,0.0237,0.1482
merge_sort,50,half_sorted,int,500,0.0794,0.0621,0.2938
merge_sort_iterative,50,half_sorted,int,500,0.0829,0.0644,0.2858
patience_sort,50,half_sorted,int,500,0.0565,0.0477,0.3192
quick_sort,50,half_sorted,int,500,0.0378,0.0307,0.1541
radix_sort,50,half_sorted,int,500,0.066,0.0493,0.3703
selection_sort,50,half_sorted,int,500,0.0863,0.0531,0.8616
shell_sort,50,half_sorted,int,500,0.0377,0.0278,0.198
tim_sort,50,half_sorted,int,500,0.0014,0.0011,0.0061
bubble_sort,50,flat,int,500,0.1007,0.0881,0.4346
bucket_sort,50,flat,int,500,0.0293,0.0233,0.0789
comb_sort,50,flat,int,500,0.0324,0.0261,0.1428
counting_sort,50,flat,int,500,0.0064,0.0058,0.0218
heap_sort,50,flat,int,500,0.0924,0.0527,0.7535
insertion_sort,50,flat,int,500,0.063,0.0397,0.3106
intro_sort,50,flat,int,500,0.0352,0.02,0.2005
merge_sort,50,flat,int,500,0.0936,0.0676,0.5077
merge_sort_iterative,50,flat,int,500,0.1291,0.0732,0.495
patience_sort,50,flat,int,500,0.0644,0.0468,0.2571
quick_sort,50,flat,int,500,0.0829,0.0506,0.3192
radix_sort,50,flat,int,500,0.0197,0.0164,0.071
selection_sort,50,flat,int,500,0.0837,0.0601,0.3566
shell_sort,50,flat,int,500,0.0245,0.0224,0.1049
tim_sort,50,flat,int,500,0.0021,0.0015,0.0379
bubble_sort,100,random,int,200,0.5357,0.3909,6.1744
bucket_sort,100,random,int,200,0.0744,0.0513,0.4891
comb_sort,100,random,int,200,0.1481,0.0778,0.3522
counting_sort,100,random,int,200,0.2523,0.1671,0.9417
heap_sort,100,random,int,200,0.1916,0.1436,0.8615
insertion_sort,100,random,int,200,0.257,0.2044,0.9153
intro_sort,100,random,int,200,0.0701,0.0597,0.3059
merge_sort,100,random,int,200,0.2273,0.1683,0.7253
merge_sort_iterative,100,random,int,200,0.2334,0.1803,0.7639
patience_sort,100,random,int,200,0.1143,0.0967,0.5251
quick_sort,100,random,int,200,0.1095,0.0778,0.4433
radix_sort,100,random,int,200,0.1399,0.0997,0.5034
selection_sort,100,random,int,200,0.2879,0.1788,1.0506
shell_sort,100,random,int,200,0.0917,0.0722,0.3133
tim_sort,100,random,int,200,0.0036,0.003,0.0151
bubble_sort,100,sorted,int,200,0.0053,0.0049,0.015
bucket_sort,100,sorted,int,200,0.0797,0.0455,0.2738
comb_sort,100,sorted,int,200,0.058,0.043,0.2576
counting_sort,100,sorted,int,200,0.2503,0.1517,1.031
heap_sort,100,sorted,int,200,0.1996,0.1571,0.8858
insertion_sort,100,sorted,int,200,0.0151,0.0102,0.0515
intro_sort,100,sorted,int,200,0.0327,0.0301,0.091
merge_sort,100,sorted,int,200,0.1845,0.1246,0.4538
merge_sort_iterative,100,sorted,int,200,0.2398,0.135,0.9628
patience_sort,100,sorted,int,200,0.2164,0.1079,0.4914
quick_sort,100,sorted,int,200,0.1697,0.0639,0.369
radix_sort,100,sorted,int,200,0.1773,0.0931,0.6424
selection_sort,100,sorted,int,200,0.3383,0.2061,1.1518
shell_sort,100,sorted,int,200,0.0684,0.0413,0.2264
tim_sort,100,sorted,int,200,0.0017,0.0011,0.0164
bubble_sort,100,reverse,int,200,0.6619,0.5274,2.5929
bucket_sort,100,reverse,int,200,0.082,0.0507,0.4845
comb_sort,100,reverse,int,200,0.1533,0.0642,0.4291
counting_sort,100,reverse,int,200,0.3438,0.1935,0.7723
heap_sort,100,reverse,int,200,0.1967,0.1452,0.7832
insertion_sort,100,reverse,int,200,0.5765,0.4313,1.9118
intro_sort,100,reverse,int,200,0.0872,0.0728,0.4481
merge_sort,100,reverse,int,200,0.16,0.1343,0.4597
merge_sort_iterative,100,reverse,int,200,0.1634,0.1427,0.4534
patience_sort,100,reverse,int,200,0.0645,0.0508,0.2446
quick_sort,100,reverse,int,200,0.0986,0.0734,0.3567
radix_sort,100,reverse,int,200,0.1529,0.0882,0.3878
selection_sort,100,reverse,int,200,0.2698,0.191,2.3404
shell_sort,100,reverse,int,200,0.1467,0.0592,0.4406
tim_sort,100,reverse,int,200,0.0015,0.0011,0.0055
bubble_sort,100,almost_sorted,int,200,0.2577,0.1882,2.2113
bucket_sort,100,almost_sorted,int,200,0.0767,0.0449,0.1699
comb_sort,100,almost_sorted,int,200,0.0713,0.0528,0.2567
counting_sort,100,almost_sorted,int,200,0.2197,0.1654,0.6035
heap_sort,100,almost_sorted,int,200,0.2605,0.1433,0.647
insertion_sort,100,almost_sorted,int,200,0.048,0.0203,0.1315
